address;balance_btc_prev;n_tr_prev;time_prev;ts_prev;exchange_rate_prev;cum_profit_prev;cohort_prev;last_block;label;balance_btc;balance_usd;first_tr;last_tr;tr_btc;n_tr;time;ts;exchange_rate;tr_profit;cum_profit;cohort;abs_delta
bc1q0ue03xwhs36r06e8fe9q5cy3gwwyrcu9wfvrjv;417.97430352;6;2024-02-02 07:00:00 UTC;1706853600;43164.23;52888.78738508;b;828517;;190.38;11464195.0;2024-02-01 14:47:13 UTC;2024-03-10 08:22:40 UTC;0.0;2;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;227.59430351999998
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;399.0847011;26763;2024-01-22 02:00:00 UTC;1705885200;41608.32;4616551.80610908;b;826758;99172121;624.18;37586661.0;2023-06-22 17:38:03 UTC;2024-04-18 23:31:54 UTC;0.0;174720;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;225.09529889999993
1Gwy9uc5wmiY1RXauKQ6JjCAYJmWhbiutL;602.91807809;120;2024-02-20 20:00:00 UTC;1708455600;52036.4;13678999.47611377;b;831295;;827.6;49835782.0;2022-07-28 09:53:51 UTC;2024-04-18 13:00:50 UTC;0.0;116;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;224.68192191000003
1HoztcQvZNoeBNeJ8bU3aFokZymbrznfRH;0.0;4;2023-04-25 13:00:00 UTC;1682424000;27404.51;-3343744.74519736;0;786951;;224.46;13516473.0;2021-12-25 22:37:33 UTC;2024-03-29 20:40:01 UTC;0.0;2;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;224.46
1M1LQcfvosaKvWTT2reERPoQqkTn9FeEEb;45.99996053;5296;2024-02-12 05:00:00 UTC;1707710400;48130.5;5380657.99940993;a;830076;55088286;267.94;16134526.0;2019-10-24 15:33:06 UTC;2024-04-18 22:12:23 UTC;0.0;3709;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;221.94003947
bc1q9wvygkq7h9xgcp59mc6ghzczrqlgrj9k3ey9tz;246.94156789;7781;2024-02-19 08:00:00 UTC;1708326000;52233.09;13764509.0646877;b;831093;KuCoin;467.26;28137339.0;2023-10-17 09:11:49 UTC;2024-04-18 23:31:54 UTC;0.0;13968;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;220.31843211
32moGotVfneLkuVnGMxLs6prfyNJpSQHzK;550.00005872;11;2023-09-12 15:00:00 UTC;1694527200;26153.65;-13069970.41266495;b;807348;;330.0;19871664.0;2020-10-02 11:48:03 UTC;2024-03-12 16:34:17 UTC;0.0;7;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;220.00005871999997
3EmV4wMFFc6dkkVpw3wMKWkDvan78TboJP;50.17283271;120;2024-02-16 22:00:00 UTC;1708117200;51955.05;4720781.9602673;a;830763;98897918;266.6;16053707.0;2023-06-13 14:32:59 UTC;2024-04-18 16:15:11 UTC;0.0;86;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;216.42716729000003
3HkJd5KxEYBXx3j2g1PLsn1gHSwKNcZBCj;0.0;38;2023-02-24 17:00:00 UTC;1677254400;23158.09;1359954.04164875;0;778133;76491063;216.0;13006945.0;2021-08-03 21:38:18 UTC;2024-04-04 18:42:11 UTC;0.0;24;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;216.0
3Qveg66KWZDoru4urtiwTUkr4en8mWfMgr;301.50044;150;2024-02-20 20:00:00 UTC;1708455600;52036.4;11547948.23575994;b;831295;80789388;516.5;31102282.0;2021-09-23 22:43:25 UTC;2024-04-18 20:44:04 UTC;0.0;95;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;214.99955999999997
