address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
17EzrPMVjdnJP3cERrVoNfYbHaNs657Rkp;;8.34008475;300.0;6282639.0;2023-01-18 18:47:30 UTC;2023-01-18 18:47:30 UTC;3;2023-01-18 19:00:00 UTC;1674064800;;20942.13;612873.72971228;1025094.53325772;b;772563;False
17FWemgbh3ZUJywTR9GVfDbvkJuiQNT3Nz;;3506.0;4654.0;184577733.08;2024-01-24 20:15:49 UTC;2024-01-24 20:59:52 UTC;4;2024-01-24 21:00:00 UTC;1706126400;;39660.02;-4098945.48;-4098945.48;c;827189;False
17KCTy1AyfEiYZjmS2cG2Z3m67aUBE3mRW;;277.92180539;300.0;9075831.0;2022-05-23 13:59:45 UTC;2022-05-23 13:59:45 UTC;2;2022-05-23 14:00:00 UTC;1653310800;;30252.77;-4191.76602865;-4191.76602865;b;737584;False
17RFd5PpuZc5gZeTsznvGP3Qkmjb7KiTcJ;;250.0;250.0;11005965.0;2022-03-25 01:06:32 UTC;2022-03-25 01:06:32 UTC;1;2022-03-25 02:00:00 UTC;1648170000;;44023.86;0.0;0.0;b;728874;False
17SjpkpuuGnZeZHVkcVxQriitD95xmG3AY;;184.67871139;300.0;11198733.0;2022-02-21 21:43:25 UTC;2022-02-21 21:43:25 UTC;2;2022-02-21 22:00:00 UTC;1645477200;;37329.11;-405741.80899388;-405741.80899388;b;724359;False
17Yy8dPKK1nNaJUvHwx5RMFQw8F7fayoo1;;252.51437134;300.0;12992799.0;2022-01-16 16:29:49 UTC;2022-01-16 16:29:49 UTC;2;2022-01-16 17:00:00 UTC;1642348800;;43309.33;60547.97539179;60547.97539179;b;718999;False
17Z44aSTYz18dYKg5JjxdhZLTVC7z25c7e;;79.60240978;300.0;4752609.0;2022-11-10 01:17:14 UTC;2022-11-10 01:17:14 UTC;2;2022-11-10 02:00:00 UTC;1668042000;;15842.03;-818349.47634227;-818349.47634227;b;762500;False
17ZDymo5wGbX6aEYaSuXyVapx6YmeoPNuV;;185.33412555;300.0;11504400.0;2022-02-23 07:55:17 UTC;2022-02-23 07:55:17 UTC;2;2022-02-23 08:00:00 UTC;1645599600;;38348.0;86764.22722008;86764.22722008;b;724577;False
17gVSuyZuTXno3E1dEuNQAddh1j3eXzfei;;216.90583152;300.0;11120529.0;2022-02-03 07:55:48 UTC;2022-02-03 07:55:48 UTC;2;2022-02-03 08:00:00 UTC;1643871600;;37068.43;-119357.29454636;-119357.29454636;b;721614;False
17h5epA3ZnivmMedARgoNmwW1QV6BYf761;;185.85525572;300.0;13258266.0;2022-03-02 05:20:47 UTC;2022-03-02 05:20:47 UTC;2;2022-03-02 06:00:00 UTC;1646197200;;44194.22;675201.54728693;675201.54728693;b;725542;False
17iP8vyHxAnoTpht5djZiaW76GkEvZgKjS;;263.43934903;300.0;9029739.0;2022-06-10 06:10:28 UTC;2022-06-10 06:10:28 UTC;2;2022-06-10 07:00:00 UTC;1654840800;;30099.13;-2926.31450364;-2926.31450364;b;740151;False
17jwbEHTptBXQacZgTxSB9a2KV9PoW54qz;;387.0;387.0;10838991.51;2023-03-31 12:01:56 UTC;2023-03-31 12:01:56 UTC;1;2023-03-31 13:00:00 UTC;1680264000;;28007.73;0.0;0.0;b;783331;False
